254	1190761	2	2
255	1190778	752	545
256	1196677	194	107
257	1198004	180	118
258	1199347	88	46
259	1199946	123	113
260	1201019	288	229
261	1203409	15	14
262	1203545	219	142
263	1205236	204	196
264	1206996	714	524
265	1212663	2964	1472
266	1233105	407	360
267	1236421	150	129
268	1237682	120	85
269	1238617	231	204
270	1240552	76	58
271	1241177	634	457
272	1246201	192	171
273	1247855	161	39
274	1248800	48	46
275	1249211	10	8
276	1249296	628	521
277	1254456	12	12
278	1254560	301	234
279	1257018	82	65
280	1257735	57	44
281	1258188	10	10
282	1258276	1269	387
283	1265674	48	44
284	1266103	66	26
285	1266567	88	71
286	1267257	1131	682
287	1275529	1372	1036
288	1286422	130	117
289	1287555	22	20
290	1287735	49	44
291	1288156	82	39
292	1288719	231	152
293	1290549	19	19
294	1290706	87	26
295	1291304	11	9
296	1291400	1158	783
297	1300271	2010	713
298	1312321	312	285
299	1314932	1727	818
300	1326256	225	204
301	1328174	111	73
302	1329037	1284	568
303	1337645	1413	985
304	1348703	271	239
305	1351032	5005	2033
306	1382899	364	336
307	1386008	1851	479
308	1397242	2613	1435
309	1415937	372	327
310	1418956	865	391
311	1424706	220	195
312	1426607	588	357
313	1430961	1064	1028
314	1440300	700	412
315	1445449	2494	1183
316	1462017	371	340
317	1465128	230	180
318	1466987	609	470
319	1471732	700	503
320	1477280	1563	207
321	1485629	68	59
322	1486195	889	435
323	1491589	58	43
324	1492039	59	24
325	1492419	124	116
326	1493470	464	310
327	1496595	93	89
328	1497362	481	390
329	1501206	251	182
330	1503196	74	64
331	1503804	12	12
332	1503906	879	665
333	1510970	226	226
334	1512874	42	42
335	1513242	22	22
336	1513440	887	646
337	1520305	1664	951
338	1532422	868	129
339	1536687	1568	229
340	1545263	152	141
341	1546569	174	147
342	1547978	29	15
343	1548167	427	357
344	1551664	287	207
345	1553857	51	43
346	1554294	165	101
347	1555503	292	231
348	1557963	1743	515
349	1568642	255	47
350	1570274	118	88
351	1571241	19	12
352	1571372	388	233
353	1574300	934	589
354	1581376	151	99
355	1582566	703	536
356	1588172	422	322
357	1591643	1167	955
358	1600406	305	245
359	1602920	3038	810
360	1621310	1342	620
361	1630138	766	564
362	1636190	1494	999
363	1647116	4	4
364	1647145	130	77
365	1648085	451	340
366	1651751	460	409
367	1655543	13	9
368	1655639	455	432
369	1659423	2	2
370	1659438	54	51
371	1659907	236	145
372	1661726	529	424
373	1666005	221	196
374	1667826	300	242
375	1670302	369	326
376	1673465	542	442
377	1677944	8	2
378	1677983	347	266
379	1680792	2704	500
380	1696335	714	527
381	1702031	1354	1049
382	1712573	257	216
383	1714760	1115	534
384	1722651	135	124
385	1723901	837	359
386	1729507	1088	671
387	1737793	357	193
388	1740349	463	378
389	1744114	50	48
390	1744560	30	27
391	1744810	32	31
392	1745097	842	541
393	1751651	774	531
394	1757527	913	794
395	1765023	1134	924
396	1774186	1261	1106
397	1784391	604	448
398	1789173	29	29
399	1789421	12	12
400	1789527	557	464
401	1794095	1223	703
402	1803059	635	605
403	1808350	272	258
404	1810694	810	293
405	1815873	624	510
406	1820923	896	762
407	1828248	1633	839
408	1839838	979	146
409	1845104	540	452
410	1849408	636	540
411	1854630	225	204
412	1856488	972	844
413	1864321	2400	633
414	1878997	38	22
415	1879279	1079	758
